Table,Num Vars,Num Encrypted Vars,Encrypted fields,Rows,Mean_Time,Std_Time,Max_Time,Min_Time
name Encryption,1,1,name,10,198.60796333135417,21.09602850700686,274.5066999923438,186.14239990711212
name Encryption,1,1,name,100,203.43784331344068,12.914126254602058,257.5282999314368,192.09810020402074
name Encryption,1,1,name,1000,263.2026733132079,36.213583765147824,431.5639999695122,242.24900011904538
name Encryption,1,1,name,2000,315.2837666760509,27.735863216180327,388.55840009637177,292.1839999035001
name Encryption,1,1,name,5000,653.8583466860777,112.275789653261,996.2625000625849,564.7315999958664
name Encryption,1,1,name,10000,1049.7888533476118,140.46660933736143,1597.7128997910768,928.6893999669701
name,0,-,name,10,199.79468336484084,9.65343874663401,218.16269983537495,188.1002001464367
name,0,-,name,100,200.34410998535654,10.224036237451855,232.07950009964406,188.49020008929074
name,0,-,name,1000,237.48707002184042,34.411608751506265,286.9112999178469,196.05190004222095
name,0,-,name,2000,216.33450331476828,16.312277715624855,282.8361999709159,200.48270002007484
name,0,-,name,5000,360.65891336960095,33.53385844540115,466.9160000048578,318.87680012732744
name,0,-,name,10000,518.2276166432226,63.06426642864677,750.1431000418961,455.9434000402689
