Table,Num Vars,Num Encrypted Vars,Encrypted fields,Rows,Run Id,Time(ms)
Coworker Encryption,5,2,IBAN-NIF,100,0,210.17209999263287
Coworker Encryption,5,2,IBAN-NIF,100,1,219.54449987970293
Coworker Encryption,5,2,IBAN-NIF,100,2,215.7030999660492
Coworker Encryption,5,2,IBAN-NIF,100,3,205.5157998111099
Coworker Encryption,5,2,IBAN-NIF,100,4,230.1572000142187
Coworker Encryption,5,2,IBAN-NIF,100,5,208.93780002370477
Coworker Encryption,5,2,IBAN-NIF,100,6,207.6828998979181
Coworker Encryption,5,2,IBAN-NIF,100,7,226.9824999384582
Coworker Encryption,5,2,IBAN-NIF,100,8,204.2090999893844
Coworker Encryption,5,2,IBAN-NIF,100,9,213.80940009839833
Coworker Encryption,5,2,IBAN-NIF,100,10,202.34590000472963
Coworker Encryption,5,2,IBAN-NIF,100,11,203.13889998942614
Coworker Encryption,5,2,IBAN-NIF,100,12,197.41689995862544
Coworker Encryption,5,2,IBAN-NIF,100,13,203.45699996687472
Coworker Encryption,5,2,IBAN-NIF,100,14,206.4926999155432
Coworker Encryption,5,2,IBAN-NIF,100,15,256.9175998214632
Coworker Encryption,5,2,IBAN-NIF,100,16,223.3084999024868
Coworker Encryption,5,2,IBAN-NIF,100,17,216.35360014624894
Coworker Encryption,5,2,IBAN-NIF,100,18,197.85699993371964
Coworker Encryption,5,2,IBAN-NIF,100,19,197.58699997328222
Coworker Encryption,5,2,IBAN-NIF,100,20,211.78320003673434
Coworker Encryption,5,2,IBAN-NIF,100,21,204.21330002136528
Coworker Encryption,5,2,IBAN-NIF,100,22,219.10890005528927
Coworker Encryption,5,2,IBAN-NIF,100,23,199.22349997796118
Coworker Encryption,5,2,IBAN-NIF,100,24,201.5961001161486
Coworker Encryption,5,2,IBAN-NIF,100,25,200.51749981939793
Coworker Encryption,5,2,IBAN-NIF,100,26,208.69180001318455
Coworker Encryption,5,2,IBAN-NIF,100,27,199.61029989644885
Coworker Encryption,5,2,IBAN-NIF,100,28,199.59169998764992
Coworker Encryption,5,2,IBAN-NIF,100,29,203.84000008925796
