Table,Num Vars,Num Encrypted Vars,Encrypted fields,Rows,Run Id,Time(ms)
Coworker Encryption,5,2,IBAN-NIF,1000,0,299.6553999837488
Coworker Encryption,5,2,IBAN-NIF,1000,1,326.720800017938
Coworker Encryption,5,2,IBAN-NIF,1000,2,294.68019981868565
Coworker Encryption,5,2,IBAN-NIF,1000,3,289.8642001673579
Coworker Encryption,5,2,IBAN-NIF,1000,4,293.60680002719164
Coworker Encryption,5,2,IBAN-NIF,1000,5,300.69539998658
Coworker Encryption,5,2,IBAN-NIF,1000,6,298.87189995497465
Coworker Encryption,5,2,IBAN-NIF,1000,7,295.67470005713403
Coworker Encryption,5,2,IBAN-NIF,1000,8,314.02529985643923
Coworker Encryption,5,2,IBAN-NIF,1000,9,345.66819993779063
Coworker Encryption,5,2,IBAN-NIF,1000,10,293.62190002575517
Coworker Encryption,5,2,IBAN-NIF,1000,11,287.67170011997223
Coworker Encryption,5,2,IBAN-NIF,1000,12,291.35319986380637
Coworker Encryption,5,2,IBAN-NIF,1000,13,322.38909997977316
Coworker Encryption,5,2,IBAN-NIF,1000,14,393.5024000238627
Coworker Encryption,5,2,IBAN-NIF,1000,15,389.8633001372218
Coworker Encryption,5,2,IBAN-NIF,1000,16,435.13579992577434
Coworker Encryption,5,2,IBAN-NIF,1000,17,412.59369999170303
Coworker Encryption,5,2,IBAN-NIF,1000,18,547.113899840042
Coworker Encryption,5,2,IBAN-NIF,1000,19,479.2646002024412
Coworker Encryption,5,2,IBAN-NIF,1000,20,392.42380019277334
Coworker Encryption,5,2,IBAN-NIF,1000,21,422.0368000678718
Coworker Encryption,5,2,IBAN-NIF,1000,22,407.9436999745667
Coworker Encryption,5,2,IBAN-NIF,1000,23,478.1810001004487
Coworker Encryption,5,2,IBAN-NIF,1000,24,411.04459995403886
Coworker Encryption,5,2,IBAN-NIF,1000,25,413.1490997970104
Coworker Encryption,5,2,IBAN-NIF,1000,26,390.77830011956394
Coworker Encryption,5,2,IBAN-NIF,1000,27,299.695200053975
Coworker Encryption,5,2,IBAN-NIF,1000,28,299.59700000472367
Coworker Encryption,5,2,IBAN-NIF,1000,29,397.7982997894287
