Table,Num Vars,Num Encrypted Vars,Encrypted fields,Rows,Run Id,Time(ms)
Coworker Encryption,5,2,IBAN-NIF,2000,0,473.0509000364691
Coworker Encryption,5,2,IBAN-NIF,2000,1,414.29900005459785
Coworker Encryption,5,2,IBAN-NIF,2000,2,444.31670010089874
Coworker Encryption,5,2,IBAN-NIF,2000,3,431.2479000072926
Coworker Encryption,5,2,IBAN-NIF,2000,4,524.3578001391143
Coworker Encryption,5,2,IBAN-NIF,2000,5,398.46789999864995
Coworker Encryption,5,2,IBAN-NIF,2000,6,396.78800012916327
Coworker Encryption,5,2,IBAN-NIF,2000,7,442.41340016014874
Coworker Encryption,5,2,IBAN-NIF,2000,8,413.87109993956983
Coworker Encryption,5,2,IBAN-NIF,2000,9,496.1620999965817
Coworker Encryption,5,2,IBAN-NIF,2000,10,420.8152999635786
Coworker Encryption,5,2,IBAN-NIF,2000,11,420.3701000660658
Coworker Encryption,5,2,IBAN-NIF,2000,12,429.16720011271536
Coworker Encryption,5,2,IBAN-NIF,2000,13,451.684300089255
Coworker Encryption,5,2,IBAN-NIF,2000,14,455.53969987668097
Coworker Encryption,5,2,IBAN-NIF,2000,15,396.61889988929033
Coworker Encryption,5,2,IBAN-NIF,2000,16,407.15080010704696
Coworker Encryption,5,2,IBAN-NIF,2000,17,515.3546999208629
Coworker Encryption,5,2,IBAN-NIF,2000,18,453.82519997656345
Coworker Encryption,5,2,IBAN-NIF,2000,19,452.2132999263704
Coworker Encryption,5,2,IBAN-NIF,2000,20,480.1084001082927
Coworker Encryption,5,2,IBAN-NIF,2000,21,404.0881001856178
Coworker Encryption,5,2,IBAN-NIF,2000,22,508.4897999186069
Coworker Encryption,5,2,IBAN-NIF,2000,23,424.0111999679357
Coworker Encryption,5,2,IBAN-NIF,2000,24,409.8288998939097
Coworker Encryption,5,2,IBAN-NIF,2000,25,418.25170000083745
Coworker Encryption,5,2,IBAN-NIF,2000,26,726.2996998615563
Coworker Encryption,5,2,IBAN-NIF,2000,27,409.20450002886355
Coworker Encryption,5,2,IBAN-NIF,2000,28,454.32680007070303
Coworker Encryption,5,2,IBAN-NIF,2000,29,502.1443001460284
