Table,Num Vars,Num Encrypted Vars,Encrypted fields,Rows,Run Id,Time(ms)
Team Encryption,4,4,Name-Desc-Num_Hours-Is_Active,5000,0,556.4492999110371
Team Encryption,4,4,Name-Desc-Num_Hours-Is_Active,5000,1,490.7058998942375
Team Encryption,4,4,Name-Desc-Num_Hours-Is_Active,5000,2,428.1776000279933
Team Encryption,4,4,Name-Desc-Num_Hours-Is_Active,5000,3,398.5928001347929
Team Encryption,4,4,Name-Desc-Num_Hours-Is_Active,5000,4,477.42530005052686
Team Encryption,4,4,Name-Desc-Num_Hours-Is_Active,5000,5,425.58260005898774
Team Encryption,4,4,Name-Desc-Num_Hours-Is_Active,5000,6,394.0514998976141
Team Encryption,4,4,Name-Desc-Num_Hours-Is_Active,5000,7,402.573199942708
Team Encryption,4,4,Name-Desc-Num_Hours-Is_Active,5000,8,393.25329987332225
Team Encryption,4,4,Name-Desc-Num_Hours-Is_Active,5000,9,461.3475000951439
Team Encryption,4,4,Name-Desc-Num_Hours-Is_Active,5000,10,408.59550004824996
Team Encryption,4,4,Name-Desc-Num_Hours-Is_Active,5000,11,420.0676998589188
Team Encryption,4,4,Name-Desc-Num_Hours-Is_Active,5000,12,366.10049987211823
Team Encryption,4,4,Name-Desc-Num_Hours-Is_Active,5000,13,447.59890018031
Team Encryption,4,4,Name-Desc-Num_Hours-Is_Active,5000,14,410.1334000006318
Team Encryption,4,4,Name-Desc-Num_Hours-Is_Active,5000,15,393.9507999457419
Team Encryption,4,4,Name-Desc-Num_Hours-Is_Active,5000,16,399.0341001190245
Team Encryption,4,4,Name-Desc-Num_Hours-Is_Active,5000,17,487.5528998672962
Team Encryption,4,4,Name-Desc-Num_Hours-Is_Active,5000,18,388.1538000423461
Team Encryption,4,4,Name-Desc-Num_Hours-Is_Active,5000,19,404.3251001276076
Team Encryption,4,4,Name-Desc-Num_Hours-Is_Active,5000,20,386.20919990353286
Team Encryption,4,4,Name-Desc-Num_Hours-Is_Active,5000,21,753.1374001409858
Team Encryption,4,4,Name-Desc-Num_Hours-Is_Active,5000,22,381.48520002141595
Team Encryption,4,4,Name-Desc-Num_Hours-Is_Active,5000,23,403.7188000511378
Team Encryption,4,4,Name-Desc-Num_Hours-Is_Active,5000,24,408.07959996163845
Team Encryption,4,4,Name-Desc-Num_Hours-Is_Active,5000,25,471.376100089401
Team Encryption,4,4,Name-Desc-Num_Hours-Is_Active,5000,26,388.7050999328494
Team Encryption,4,4,Name-Desc-Num_Hours-Is_Active,5000,27,416.47709999233484
Team Encryption,4,4,Name-Desc-Num_Hours-Is_Active,5000,28,404.13130004890263
Team Encryption,4,4,Name-Desc-Num_Hours-Is_Active,5000,29,388.365900143981
