Table,Num Vars,Num Encrypted Vars,Encrypted fields,Rows,Run Id,Time(ms)
Shift Encryption,10,6,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,1000,0,650.5851000547409
Shift Encryption,10,6,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,1000,1,586.5577000658959
Shift Encryption,10,6,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,1000,2,604.5721000991762
Shift Encryption,10,6,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,1000,3,546.7322999611497
Shift Encryption,10,6,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,1000,4,658.8278999552131
Shift Encryption,10,6,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,1000,5,603.7601998541504
Shift Encryption,10,6,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,1000,6,565.0992000009865
Shift Encryption,10,6,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,1000,7,606.0721999965608
Shift Encryption,10,6,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,1000,8,572.6623998489231
Shift Encryption,10,6,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,1000,9,710.8114999718964
Shift Encryption,10,6,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,1000,10,582.6091999188066
Shift Encryption,10,6,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,1000,11,662.5244000460953
Shift Encryption,10,6,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,1000,12,602.4962000083178
Shift Encryption,10,6,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,1000,13,995.450200047344
Shift Encryption,10,6,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,1000,14,610.162400174886
Shift Encryption,10,6,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,1000,15,646.6012999881059
Shift Encryption,10,6,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,1000,16,572.0858999993652
Shift Encryption,10,6,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,1000,17,675.0819999724627
Shift Encryption,10,6,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,1000,18,592.5016000401229
Shift Encryption,10,6,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,1000,19,628.7080000620335
Shift Encryption,10,6,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,1000,20,560.2400000207126
Shift Encryption,10,6,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,1000,21,604.1574999690056
Shift Encryption,10,6,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,1000,22,567.3322000075132
Shift Encryption,10,6,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,1000,23,606.3652001321316
Shift Encryption,10,6,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,1000,24,549.1337000858039
Shift Encryption,10,6,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,1000,25,629.9959002062678
Shift Encryption,10,6,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,1000,26,534.1043998487294
Shift Encryption,10,6,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,1000,27,584.9228000734001
Shift Encryption,10,6,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,1000,28,629.6105999499559
Shift Encryption,10,6,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,1000,29,591.2477998062968
