Table,Num Vars,Num Encrypted Vars,Encrypted fields,Rows,Run Id,Time(ms)
Shift Encryption,10,6,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,10,0,208.29280000180006
Shift Encryption,10,6,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,10,1,204.07270011492074
Shift Encryption,10,6,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,10,2,204.47849994525313
Shift Encryption,10,6,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,10,3,203.76139995642006
Shift Encryption,10,6,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,10,4,212.53239992074668
Shift Encryption,10,6,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,10,5,207.82119990326464
Shift Encryption,10,6,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,10,6,228.08559983968735
Shift Encryption,10,6,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,10,7,212.48880005441606
Shift Encryption,10,6,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,10,8,204.17899987660348
Shift Encryption,10,6,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,10,9,209.8562999162823
Shift Encryption,10,6,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,10,10,204.47369990870357
Shift Encryption,10,6,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,10,11,205.97369992174208
Shift Encryption,10,6,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,10,12,210.0984000135213
Shift Encryption,10,6,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,10,13,210.16029990278184
Shift Encryption,10,6,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,10,14,220.21159995347261
Shift Encryption,10,6,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,10,15,208.44769990071654
Shift Encryption,10,6,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,10,16,211.96680003777146
Shift Encryption,10,6,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,10,17,205.42090013623238
Shift Encryption,10,6,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,10,18,204.04790015891194
Shift Encryption,10,6,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,10,19,215.5447001568973
Shift Encryption,10,6,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,10,20,209.60080018267035
Shift Encryption,10,6,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,10,21,201.1497998610139
Shift Encryption,10,6,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,10,22,219.05519999563694
Shift Encryption,10,6,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,10,23,202.21110014244914
Shift Encryption,10,6,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,10,24,205.09770000353456
Shift Encryption,10,6,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,10,25,203.49929993972182
Shift Encryption,10,6,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,10,26,210.01469995826483
Shift Encryption,10,6,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,10,27,204.11329995840788
Shift Encryption,10,6,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,10,28,208.12830002978444
Shift Encryption,10,6,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,10,29,200.10929997079074
