Table,Num Vars,Num Encrypted Vars,Encrypted fields,Rows,Mean_Time,Std_Time,Max_Time,Min_Time
created_on Encryption,1,1,created_on,10,197.03242334071547,14.238826711428844,265.873400028795,187.36169999465346
created_on Encryption,1,1,created_on,100,210.70709668565542,7.58337470785732,231.57990002073348,198.71139992028475
created_on Encryption,1,1,created_on,1000,283.9545799884945,42.46424857740795,380.4927000310272,248.16310009919107
created_on Encryption,1,1,created_on,2000,517.3809599829838,52.253242629455634,639.0788999851793,441.08160003088415
created_on Encryption,1,1,created_on,5000,791.7091733387982,200.72261742256686,1437.055499991402,614.6382999140769
created_on Encryption,1,1,created_on,10000,1200.8253233429666,162.62340977005547,1944.8143998160958,1050.9260999970138
created_on,0,-,created_on,10,194.2451533395797,9.43270020785997,231.35259980335832,184.41730015911162
created_on,0,-,created_on,100,196.9373333423088,6.146900319798991,220.35680012777448,190.11299987323582
created_on,0,-,created_on,1000,213.11416667109975,12.526753892032449,274.277999997139,200.07020002231002
created_on,0,-,created_on,2000,229.38777667780718,15.096055556803007,281.21450007893145,213.2331000175327
created_on,0,-,created_on,5000,382.5524866891404,34.69693523318912,450.55319997482,319.9112000875175
created_on,0,-,created_on,10000,515.1975900089989,41.82375689512312,654.0437999647111,471.7325000092387
