Table,Num Vars,Num Encrypted Vars,Encrypted fields,Rows,Mean_Time,Std_Time,Max_Time,Min_Time
num_hours Encryption,1,1,num_hours,10,198.55309664271772,6.931068398331367,218.49699993617833,189.10369998775423
num_hours Encryption,1,1,num_hours,100,215.3316900211697,27.442233579855976,302.80299996957183,195.46090019866824
num_hours Encryption,1,1,num_hours,1000,260.48564333468676,17.135427715309905,310.330200009048,244.94360014796257
num_hours Encryption,1,1,num_hours,2000,342.5809033137436,58.402362699689014,593.1167998351157,302.7894999831915
num_hours Encryption,1,1,num_hours,5000,630.5391733146583,78.23483843661684,947.6620999630541,551.5139000490308
num_hours Encryption,1,1,num_hours,10000,1032.2358599863946,92.05876883865321,1306.4511001575738,931.467300048098
num_hours,0,-,num_hours,10,192.97229330986738,5.335749305238441,204.6717000193894,185.372999869287
num_hours,0,-,num_hours,100,195.73588335576156,7.410060699290045,213.004200020805,185.97149988636374
num_hours,0,-,num_hours,1000,238.56665331404656,34.6276194594766,294.121699873358,196.42030005343258
num_hours,0,-,num_hours,2000,211.4911666760842,11.087230286622654,249.14489989168942,201.5742000658065
num_hours,0,-,num_hours,5000,355.77361662872136,31.50905311894152,490.63479993492365,330.20889991894364
num_hours,0,-,num_hours,10000,495.11318667791784,39.3100806293725,665.8796998672187,454.7625998966396
